,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHN,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,POL,PRT,ROU,RUS,SVK,SVN,SWE,TUR,TWN,USA,ROW
AUS,520016.4371938386,65.77737547012518,312.64602062752385,85.39940606618667,441.67858546067515,1163.5131829308773,204.90130899337223,7451.4992364621285,10.987920172208469,57.84090792067495,924.0167709814389,511.9675168148899,411.67457169745387,1.7949736012843047,262.0583247371594,903.6433993814245,3103.8494138758097,41.1315927305649,17.706296284525198,25.95383097271484,2240.9005310554267,2500.4880033140685,151.93784091640785,1425.240320365473,13900.92438134061,5634.615976707004,1.781315999860619,9.094972137944003,4.089721844481683,398.8423484274474,51.547242151495276,669.0900816656658,63.158069318496295,16.882777861671084,43.53151386095528,57.841241835343034,90.8427492453732,12.452338479226473,12.852553429436469,187.76075511489208,209.57762764291374,2409.8219215735153,3340.036570974201,21609.81494135974
AUT,214.53799948722394,156758.31219392733,1003.2772691528255,121.64178996132125,208.9713331335951,656.6245709322172,3041.0218738933563,682.2199693905222,162.39837634915753,1597.9733559869546,18681.16458195047,405.0950075215773,1354.322603434867,21.25984746628894,330.2937898057935,2550.0967760019203,2645.7408360438426,221.2762902980935,855.8572452485176,2644.824535572104,78.9851387137327,394.498268126067,348.1960139330905,5248.476637918075,635.5941829051997,298.20493027954814,31.29535150657116,121.87245744039774,43.57095825339069,197.47151357800408,78.95953281845073,1427.171137427512,346.2561942882233,1438.6194402288318,203.60220333253852,597.4291538221365,676.8400883409303,814.7145297527452,918.5607926442326,881.2524225029248,522.1278542562045,132.79272007264439,2261.740748383514,5899.801924442463
BEL,411.4548854058012,1148.6819075099183,220743.77837222358,52.998270722836075,536.7026100864169,541.0431363375945,2299.9543626672585,1299.2408706822666,83.24689533976085,561.4039500390368,20856.40038244186,2082.46619338756,3617.723074161791,51.94540419864257,778.1293557611648,18912.008026292726,8897.297877447478,629.4269350158677,113.10650454834918,491.38390344764775,145.4315513968238,840.7060022949684,2306.265441989378,6525.027875096095,1035.0007482423075,481.09051335934583,67.24662314345139,2996.552625812705,37.022230962384555,413.3486112227064,77.60292251453907,11537.094282923092,746.0133267087837,1141.161843348479,696.4965654583174,185.88207070152308,738.2399719919684,192.7380558632713,95.70236659524143,2070.1077493351127,1113.6180576354855,270.01781070243203,5959.1489416622135,10916.057146488625
BGR,2.3982522682080725,40.91403963220071,169.21096113779348,17973.521763117544,7.077637102653729,13.365216162221845,6.959258300386227,39.36763179568055,5.445042123857163,18.554292172933348,178.98092981211906,7.982483296557897,51.768807508087754,0.9376757739790685,2.9857681770538713,49.946404247404715,46.109908106555324,128.26194432119172,13.425435388756013,10.762039086871962,1.945805101728554,1.5624162522649632,2.413591845886578,229.38273163109517,2.856896314460727,3.2062171688826777,1.0565406395266255,1.470713909968292,1.4427972773866793,9.42464601791101,3.5634689232305496,21.35693225721691,5.920714582776204,15.173775839470967,8.01715902003151,82.08935799146926,24.59836780337928,2.7287001600835197,9.404091279844037,4.808487958505339,291.6463357032763,2.6274144271624276,80.79516367312723,860.2285278938672
BRA,240.4986512007563,72.89940413288484,1073.3116925996733,115.91815966247835,431684.761367917,1141.808594457126,210.9522963166752,4683.389054327664,18.10094700066673,32.94788602598394,2235.9906930390057,219.70296072743312,1254.5667884276618,4.959320606608974,158.3188290327825,1769.3544398429224,1441.6942142350622,107.53297883116583,61.72997198888877,69.61754653579209,512.6382446767469,1114.0153462732671,137.67077849293847,2012.9769473884041,2270.049077901285,1295.8287510715877,5.577096464984912,4.1224407605084945,1.3308814027753475,2039.7759545284612,11.720774022140608,2599.0411349334004,357.54590563282187,91.26794896785744,640.0808018512009,338.4867262308359,969.7661216486144,20.034598864309427,94.98275497044368,225.48846610552732,377.5412661175439,870.3733331295614,11282.292740660894,14138.582372158233
CAN,934.4579108091556,294.61338779752356,777.2429951745962,6.566688215914831,560.4272189388163,610239.2891483981,345.03091949167754,2336.0617498730394,11.092180223438936,70.41087140447563,2248.9927408945236,244.0110411412152,1571.772043044475,6.009312615122938,156.78908996008983,1539.6176293486108,5817.533827779881,120.59579958311454,36.39374293114211,67.85198749951036,297.3766213630598,384.42099917701034,616.7481375901932,1284.2748568548232,6812.755383995624,1403.7385515062153,15.383261773410313,35.369076299796866,13.327030622197443,2174.628704778213,32.04618633781968,822.5954138686441,830.3050279977177,163.53775043908357,54.568246448852115,98.89338255665324,259.780974980827,17.294959708638547,22.278141903093736,560.7714574663025,204.07729158031398,974.5967992506311,141646.68232214003,21557.715727081108
CHE,581.5406843726146,2123.832200520325,2180.2667826619854,37.78966162584124,577.0634482291157,837.0476879394754,270172.51634206023,742.4002026137458,110.3945169495371,374.9960918551249,16239.179704213857,578.799456453117,2749.870641529544,20.301206809020837,359.98792888285254,5616.421300702409,5463.960382347123,472.2766695623352,144.98595383687783,348.4316691141866,165.24300754310468,404.9374315240528,1061.788531371353,5740.42070086043,2252.889241052119,680.0415692353808,22.9362315431364,1799.164951272561,46.90700541897093,442.39467972925985,33.308929267040206,2470.957860580037,365.2549727670445,482.4009729774172,462.5378621347081,116.0104460316563,349.9394152158141,123.2190924580068,105.51185862416544,1062.8508230564269,1101.3294246032424,416.4445173423152,6463.680286221905,20095.27937075481
CHN,3387.3309786159,401.36655203572633,1291.7699960810844,44.005474675424516,1598.1559625644443,4152.591664213059,512.8653641950185,2514681.9796234807,47.06219677418616,457.29021273585465,7345.228869792133,984.6591105595686,1543.0256664753233,32.096431683172106,575.2217603898489,4371.684008926137,4185.251525402394,210.26835206075938,52.12422788405739,1152.0869517404608,2963.201177739793,2767.6954123220567,1077.6112881383365,2843.32595141783,22730.971655908612,12512.130757593104,42.37792393522584,917.9935830441312,20.76700796965595,3014.8127649954704,17.773384274950903,2344.188698310944,461.29308387442325,523.3678625250124,122.41408717063437,211.94521450416792,957.9798632060835,76.82742232738606,50.6825265132936,869.6555164732114,946.1388925033399,5902.170881804806,24048.745157792837,89201.802741302
CYP,1.444977921014961,34.93995732792628,18.80232527845768,3.7937938323524043,0.2713878255346472,4.524440665268653,22.531629410342344,1.7798279883445682,7907.789747942146,88.05209841128345,129.63454047029376,24.8803627051738,20.29865633776358,50.71123232631659,16.290731658982647,34.43784782426883,238.567842723093,164.96046136030813,2.360340879189211,51.374548945547495,0.03983841598882606,0.7521916554237756,89.44326956441994,162.57774448697268,5.218242278741801,11.21651333563053,1.1063449618902885,5.916991307234037,11.162271216311348,0.047516870795628975,1.7034311274561524,177.09589976404345,19.210216984045136,9.364058235365535,7.012623745794394,10.919759194502658,32.86231877322149,14.95508391551174,23.369330389422505,93.6846965930476,3.7233937524311207,1.0146147644004624,734.6727144415353,928.3842716308603
CZE,43.77859501283295,2094.3954884305967,492.9562294322285,89.72853356874087,44.42188907785194,86.03480134909135,358.6368830040733,189.78338572689472,20.05386807964243,102192.06939816463,10387.652790999953,145.29078592088658,584.3555761526862,22.10922263690789,118.2798015398971,1266.8582458838691,1024.2360603469353,65.64917398132859,201.1975335053475,620.2012500698675,9.538561387250619,78.74342678711928,132.2330211353704,1095.0030047058258,108.29719163919174,47.155206738961354,44.58613343280473,211.522154691764,49.360118912606275,64.20402034688685,1.091327677852826,758.8284509232676,103.6207311775565,1283.2986291808338,57.97888049777394,194.03173241424975,515.0031235212922,1644.3682435172402,203.19986308416085,326.29284427216567,215.0623091599017,18.917694234729204,752.0908465440017,2324.610081422356
