,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHN,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,POL,PRT,ROU,RUS,SVK,SVN,SWE,TUR,TWN,USA,ROW
AUS,725084.5654065829,113.21088216486717,685.0982095736355,48.23670687857155,1252.9806846510937,1501.1750046547445,253.70220035342103,17331.919811155847,8.381435119241342,115.64510974413939,1222.0457464958886,473.40233096413834,802.9381177343795,4.378472946825642,1005.2008881347776,1354.324086291343,2894.1985986422537,55.494268770619954,22.056416183756753,30.472084960871506,3669.6419728363867,10704.639356644873,185.97299050919614,1508.8947722983999,25872.12737751974,9069.946226621063,3.505474862267944,23.93079900940329,5.542832842488698,605.3456694833285,33.51772056044836,966.5589908481041,103.76800053242394,59.80636979286149,36.78369429558398,72.39785829325024,214.86672196698743,20.547980343980917,10.488304809118944,346.9262940088977,321.29969223952736,7237.307859238285,4494.465466881592,34489.140140313095
AUT,361.41693118512467,211370.5933974288,1184.3559776155805,353.49408914096705,323.81706705218875,1017.282702775984,4098.391536371073,1228.2836083942207,120.91406164592902,2772.162512966192,27734.25975114014,658.6916989177089,1944.067832892923,71.77566904157887,573.0832601486765,3364.541604128064,2803.9818466198385,352.1275630414553,1291.1814668696215,3705.391158725597,89.89526068850722,653.4204975492693,386.56701773034035,8234.782093746884,943.7983603381844,585.7000260967546,58.45622962931747,218.27500279503857,103.39231356502056,300.36413646851963,370.7299618027241,1439.0160826762433,552.7933671127369,1961.5674100444123,279.14081814011973,1454.7413129538202,1110.2732312585683,1374.640418821914,1388.227949866537,1277.5200846181795,778.9524075480974,230.80116154649988,3468.816297588564,10955.320913789481
BEL,442.81249075591916,1643.2395077941692,293875.1463112976,154.81832274084107,879.2546761220037,942.0345558179863,2981.996977828215,1929.8007246760408,63.378324648963044,1235.4616407005215,33048.409512154656,2427.824932057362,5898.5079078468125,109.25169685821184,1159.439596622361,25981.186311799935,11886.306690580366,951.3147779903295,117.23116741724205,801.0983009409806,233.97760984000726,1137.3135530298905,2511.026935958009,8897.158643941373,1455.2601417619169,629.2146261421356,188.49549300646606,4497.285241726847,80.1450469388116,453.9419908714535,50.397013584291756,14198.06236394887,1292.1288462539949,2251.932782577218,808.5413722693806,426.2084765143938,1298.8130614947856,328.6375341230839,183.7918649252715,3095.3500551311995,1887.0284713878027,433.07391212156534,9998.77098145533,19074.476159549984
BGR,6.691673739976059,154.15773294587123,624.4366796061976,31603.51196285872,18.1550906359908,43.74301095823794,41.45181253358102,38.0603860616585,28.26701752067416,47.482036109168014,750.7215850643757,27.718619518955762,313.46031925113806,4.828380340216048,51.66948308866243,248.97291132797397,226.77233437546698,483.0338212599022,136.8966594378461,56.20703159473138,13.24316917155391,17.0913212939802,15.559703957722869,515.8502154844209,9.921299296894492,20.781643520177532,5.001135353024698,11.831686858539767,6.540402389353246,17.91782769886287,8.844211106640842,72.44629534019342,16.63444831488305,119.07017409049509,39.15832970172245,306.9247909350685,110.77104934485163,35.2532871034919,36.903144664665284,43.600469759927634,1292.3934357873902,7.0001869807783805,252.2474770649681,2167.744960910066
BRA,510.5978465234034,257.9975479646172,1629.0233547799805,155.2348098300476,854350.0330141283,2150.915552154693,431.8278841629348,9339.708209064047,136.35749708261977,57.093365975883,3585.2276312844524,553.1516848095882,1759.6299907304742,28.009998078186367,291.5855966976927,2635.3105191610075,2392.232936699881,214.35362775301658,71.32132707399767,62.60344532921182,835.9188860761196,2629.4180289439923,179.97293912593898,3293.4107921896184,3684.8440254898624,2025.6979494648888,28.81439018093039,20.864673867289522,45.471587290714936,3126.421782767383,4.87970990913713,3674.134634523133,623.2924128198918,187.26146636091036,1252.8989795672574,367.08431643829476,1577.5269974432445,26.5189830855441,175.52326640450042,400.54998205590357,492.44190311422085,1046.2815108605516,19209.18166260254,33428.19748245724
CAN,1410.8184630438525,365.20168295689393,1142.649615483686,36.80430844844104,858.6652854486249,886475.5832838287,840.8935123718878,4989.262569174062,14.048076421719575,198.1358282737195,4222.133205517516,256.01075315283157,2847.008703338404,10.41891384274556,387.3056467950106,2696.92044955928,11720.272307624267,159.58263002283684,15.873683115826461,173.38936229867835,596.6345795020886,860.5201459978484,1142.3658003180542,1340.2496426024481,8800.621916396793,2336.9012572599604,13.66719275057564,72.71695313534588,25.74929372897387,3998.326874170976,63.43532212737959,1365.9697534571924,1621.713139010831,331.6506721882147,81.41594015594332,95.87352276792627,476.0925922168335,29.241126892794583,29.710641201838158,778.240126264599,316.2850533837896,1369.0527473857312,204433.23546150347,35991.36124199698
CHE,799.8081730286449,2606.1795954180084,2222.929985487813,95.03000171652742,681.2940965886836,1938.7208550264627,327818.54271524627,1551.550552025925,84.76625541242304,698.9323182426199,21627.5245872904,1042.5734980542068,3943.3018276672847,43.49051032360944,435.556515684865,7447.842252051802,8016.1728793202765,756.4976157658092,134.6888741335612,609.9762442644185,183.62204074741487,507.03080385455553,1657.857635641853,7568.054515296891,3183.6766295134266,917.0714495814369,31.616556012349115,3791.7926639841485,70.23895529017108,569.8026320509734,53.02879009093852,2647.571001636195,462.39111838795947,1049.734473274058,518.632227194215,268.41233115317806,519.6440933547083,202.09141521764744,127.88661304365424,1341.607900299243,1963.921097164816,566.7332009867605,10455.97264414109,27525.50541793797
CHN,6974.646467519961,1083.0559279166089,3293.858047287734,215.7411679786528,4065.0375699337624,9237.791068362132,1292.799158949006,4863542.508407584,93.21423473213683,1814.8190631296711,17626.72204175738,2299.521641565433,4777.992619708503,134.56200413440413,2224.4956861982937,8774.473639620992,8902.030487118258,582.6128020435667,161.98101015201718,2596.2046708365933,5384.468626903554,9006.84115539941,3317.6901486140555,7252.028909136981,39983.164513534364,28304.993371935947,139.77019162057732,889.9076466913191,89.2532207687075,8797.273456679792,53.22342978160298,4157.7556464191675,788.5010178486446,1701.822592599403,543.2143009638138,806.6030350631527,3768.365434566439,389.59266399731604,149.7062875181322,2351.5480198355167,3246.652745332722,15708.44069861548,55958.29772976959,184276.53592281046
CYP,1.1660076009338691,33.69200010409743,38.75805522950794,40.17597462923961,10.748268312520326,9.314876820335757,19.063909754023946,3.87784351284219,10345.138731798988,48.39400927086307,217.7697244866994,55.12180035436958,12.958909104054532,111.29282589537789,4.835312767167428,45.29690241038843,305.7723518177486,561.1038786234052,1.379135147272684,65.5362005466919,0.21206586351312554,1.5889215982620488,28.49500440239749,140.12075230382473,4.520194569375671,1.0622392332801802,8.717432810520398,31.194547237803285,38.309202415575925,0.03539450708307399,41.31224928470641,97.0660891653682,49.545937248804925,55.00449128526435,5.296253786355073,46.47558822294713,57.888350126862406,18.971893579865863,14.562799295761678,38.405716952643076,3.8613149353589677,0.38324434210564595,830.4809275652319,1111.9494732754022
CZE,89.854827232631,3389.0372664670576,1321.0855622947386,195.1871512146654,163.8649188435733,241.3917211879328,706.4191596466784,321.3707753217151,28.987356842750017,157797.96847444383,18848.93555192969,476.6192344763611,1446.866090839281,58.13416705610375,290.1635380568613,2756.2328803300165,2068.621376592038,126.18338203123825,286.7102439094113,1764.1717908275944,28.653754050338424,399.4637494252059,284.3678075949554,2310.0089728950784,279.0869158793441,123.43432759766559,104.81414085517015,270.13763971203565,84.40467599230806,193.95400790028646,6.571878244041697,993.2867226537925,343.37706650437667,3296.0095464624387,121.69548094578465,626.2780955791496,980.1963447180631,3985.915264968351,307.54123657275,973.1360565436823,330.00490418287006,40.960036451916764,1598.491886475659,4706.817995530214
