Source,Target,Weight
12,0,510.8448732827897
12,1,1969.8761586985904
12,2,5752.878672302035
12,3,405.58084498840446
12,4,2814.8633833750628
12,5,1050.6946528667604
12,6,3971.8388228283375
12,7,9302.828041675895
12,8,16.78813054089187
12,9,2128.8930279698448
12,10,28260.541873856007
12,11,1184.451646431141
12,13,193.82241351771927
12,14,1124.9272650580203
12,15,34143.35183457288
12,16,7059.762537366513
12,17,412.2334939229792
12,18,98.7230669880056
12,19,1775.218617497935
12,20,1816.1498092604074
12,21,1745.8668716003506
12,22,2662.236229595761
12,23,16347.417298316206
12,24,1188.7416354123395
12,25,1448.4514425820007
12,26,180.69776067779202
12,27,789.7732212964315
12,28,210.5012061690735
12,29,6027.278252049712
12,30,11.695570818068195
12,31,7084.525791868565
12,32,4344.409967113618
12,33,3236.022531865864
12,34,7971.723011141806
12,35,1175.9423393801185
12,36,4156.702827461173
12,37,669.9124567686862
12,38,209.5311807802097
12,39,2268.977077588411
12,40,3608.445228313829
12,41,798.6112964832088
12,42,6888.8837635037
0,12,942.4202550572136
1,12,1229.5454229114305
2,12,5336.0326309525535
3,12,2583.436987863594
4,12,3354.4087548140515
5,12,1472.5370096739293
6,12,2576.0758115303884
7,12,3079.7712623172692
8,12,126.27394928204862
9,12,1421.6959338753634
10,12,17233.565289052982
11,12,1348.832836295614
13,12,72.32063417436449
14,12,768.0325727947826
15,12,28591.274467550826
16,12,9842.899798237926
17,12,1302.2247010677565
18,12,124.75133039836992
19,12,867.3404070923406
20,12,417.9144539069613
21,12,989.7933522687157
22,12,891.1769099896327
23,12,12543.730272311926
24,12,2111.9854105461773
25,12,1974.7845217751017
26,12,117.82252589364242
27,12,501.82969134974684
28,12,63.206048633395994
29,12,2810.017697148428
30,12,90.64391073942642
31,12,4756.092075747648
32,12,894.8352608315253
33,12,2556.4798778489144
34,12,13495.402742188784
35,12,926.0938348897937
36,12,1691.3968916295544
37,12,476.0665630890966
38,12,434.17439048061334
39,12,1382.7682746044593
40,12,5176.846458763247
41,12,2054.5450268692402
42,12,10395.558192030081
