Id,Label,Weight
0,AUS,362748.54475302034
1,AUT,112345.4469853478
2,BEL,175001.84000514715
3,BGR,11104.210129273659
4,BRA,480277.8493900299
5,CAN,503848.6795134936
6,CHE,203713.50326452532
7,CHN,1883160.9358037584
8,CYP,5852.456081654637
9,CZE,59836.13097016673
10,DEU,1344013.9139636457
11,DNK,88212.43826505318
12,ESP,429714.7554342839
13,EST,4648.612240798664
14,FIN,97024.44932882176
15,FRA,933894.1680004788
16,GBR,1073538.1520899772
17,GRC,76326.22066286957
18,HRV,12789.060310959592
19,HUN,33711.83887186384
20,IDN,136009.04818498046
21,IND,359674.6171848287
22,IRL,63029.830004515716
23,ITA,965902.879460072
24,JPN,3780725.1494958256
25,KOR,521074.98679151357
26,LTU,6671.697096257002
27,LUX,12873.563735176303
28,LVA,6585.473670641174
29,MEX,345269.9378659528
30,MLT,2525.2544372755624
31,NLD,276841.89948868763
32,NOR,94232.01133846816
33,POL,136494.23265748154
34,PRT,90963.37003401548
35,ROU,28698.995998251088
36,RUS,177920.92100673183
37,SVK,21353.4983242083
38,SVN,14733.914523600242
39,SWE,173969.0653435707
40,TUR,260739.445441548
41,TWN,245380.61635367977
42,USA,7596562.212434333
