Source,Target,Weight
4,0,439.03893167430346
4,1,260.85971772399483
4,2,572.1972882923868
4,3,24.51793715373558
4,5,594.1570455596477
4,6,596.8779414920205
4,7,2463.639300045404
4,8,0.5134826920721277
4,9,89.19508922770281
4,10,5627.570121300942
4,11,153.46575031691853
4,12,1352.634353877967
4,13,5.326884187634575
4,14,297.5897333846644
4,15,2052.964131743216
4,16,1154.1695043661655
4,17,53.540566332433045
4,18,1.8118514412748912
4,19,94.72109566218023
4,20,400.35204139813317
4,21,742.3959431914253
4,22,238.37363808111962
4,23,1790.1271903077718
4,24,1884.0793803362167
4,25,1485.2753079607132
4,26,0.2446727614686245
4,27,21.77935221393464
4,28,0.9341572782094616
4,29,664.4520599297157
4,30,8.374744057235876
4,31,654.9640948848783
4,32,160.8026430241249
4,33,157.20956202671005
4,34,197.9609014057457
4,35,10.419259871567977
4,36,409.1542629835814
4,37,10.71377082913016
4,38,13.447393008905125
4,39,653.8891608187799
4,40,126.41486167214792
4,41,1216.1937157669902
4,42,7590.827143208784
0,4,335.77206187499013
1,4,148.93786093713416
2,4,1139.1733693976844
3,4,151.22624312222476
5,4,1427.6218431688822
6,4,225.47721852164884
7,4,5867.609203181622
8,4,49.28701066946636
9,4,44.57681524216657
10,4,2751.3402912411784
11,4,278.335582109271
12,4,1555.2537983429845
13,4,12.971007936696198
14,4,214.24136647255668
15,4,2348.136916796517
16,4,1784.3360926767646
17,4,150.7512665112321
18,4,77.63369300973567
19,4,35.964199995043494
20,4,555.8861400067207
21,4,1503.8571222285102
22,4,170.24829081188247
23,4,2413.666144944827
24,4,2606.374333522601
25,4,1732.8477735695185
26,4,7.274623122107206
27,4,10.318107291837032
28,4,2.880016125816661
29,4,2869.5677180760767
30,4,57.25848282111372
31,4,2993.475505988299
32,4,396.735275365592
33,4,155.39313267913724
34,4,966.1569217649414
35,4,423.60064432443664
36,4,820.3714682209311
37,4,15.584323006451301
38,4,138.02437799780458
39,4,326.3020684617628
40,4,437.7920748696119
41,4,1049.3769249681902
42,4,14171.39277051672
