Id,Label,Weight
0,AUS,1290540.778640453
1,AUT,277966.4475807477
2,BEL,376762.400855205
3,BGR,47168.08764462142
4,BRA,1805090.2817764962
5,CAN,1226861.687121193
6,CHE,535326.2879231444
7,CHN,13885543.087089805
8,CYP,14271.144033020051
9,CZE,224926.3083052768
10,DEU,2745991.071467237
11,DNK,193729.22315531495
12,ESP,1154832.3072709758
13,EST,15928.73330434854
14,FIN,204323.2464331355
15,FRA,1932625.984120008
16,GBR,1700549.7300534397
17,GRC,143898.27039724228
18,HRV,37001.54756642488
19,HUN,81935.9599186987
20,IDN,683364.913592913
21,IND,1597014.712387914
22,IRL,108894.0036413122
23,ITA,1958998.0900778172
24,JPN,4763600.115721232
25,KOR,1401101.5058603273
26,LTU,20889.37263165574
27,LUX,47951.65015556713
28,LVA,24069.654679985568
29,MEX,584610.4308969883
30,MLT,6450.112960478826
31,NLD,548964.2419630876
32,NOR,269680.7215836375
33,POL,445330.98497826525
34,PRT,172026.27298976007
35,ROU,149497.37183873414
36,RUS,1432328.4849051437
37,SVK,82148.47718381857
38,SVN,34631.4004937037
39,SWE,370912.68665082415
40,TUR,571843.8658540573
41,TWN,457489.0439622249
42,USA,10675687.629822088
