Source,Target,Weight
22,0,129.73512408572628
22,1,325.16979264819236
22,2,2392.815643715343
22,3,11.051658862820512
22,4,179.45106476180814
22,5,757.5042503499816
22,6,1665.7027222886713
22,7,2362.0865841891823
22,8,18.429822711501934
22,9,200.89565377749446
22,10,5014.407151584368
22,11,626.4442472106514
22,12,1629.9921895972545
22,13,28.524210740745634
22,14,428.93295898150774
22,15,3393.9141755814085
22,16,19528.400638585194
22,17,82.15323779058888
22,18,53.834350615737705
22,19,125.5998629284432
22,20,57.64572527915552
22,21,112.91111015120524
22,23,2801.1146430496083
22,24,1020.0300789665756
22,25,623.7523083057245
22,26,27.857490925811497
22,27,340.074106022943
22,28,56.00158531436224
22,29,140.11553809148458
22,30,9.959781720656824
22,31,2549.839859585345
22,32,1716.935558909064
22,33,424.8912302701337
22,34,187.11317598131828
22,35,28.86469820922976
22,36,291.83313459154874
22,37,37.65870826448224
22,38,19.367908893844326
22,39,784.0517064095876
22,40,208.09806183922646
22,41,729.7727984023085
22,42,32531.513201808437
0,22,344.3342852484648
1,22,618.9041659075168
2,22,3328.812859952281
3,22,24.583963075076557
4,22,326.5970130750564
5,22,1096.9022039702909
6,22,3441.1197837844124
7,22,1043.1644377205137
8,22,7.1860433465610125
9,22,490.51071994047186
10,22,6507.6832086425065
11,22,669.4419384740926
12,22,2194.5330319016625
13,22,36.27785806445321
14,22,358.29741214169405
15,22,4297.942771619266
16,22,12738.383451504209
17,22,175.36928271735786
18,22,66.48383407239568
19,22,228.94065392970364
20,22,74.20318789853432
21,22,1076.16511085475
23,22,3914.9863629071533
24,22,1727.1349949364144
25,22,833.981078407423
26,22,7.996787118661135
27,22,1251.3376878804536
28,22,10.815832398068256
29,22,401.9710197913873
30,22,20.225136891558712
31,22,1735.9093825244345
32,22,617.5918734807805
33,22,345.2531613255732
34,22,162.24695851178342
35,22,100.70091339660351
36,22,88.7041217079693
37,22,61.46474024046746
38,22,47.16084705439753
39,22,1276.7849558470173
40,22,205.94790590558458
41,22,642.1718462476276
42,22,14413.023386532634
