Source,Target,Weight
22,0,250.18695529016125
22,1,477.4704595915899
22,2,2274.9314334971536
22,3,83.75087798149194
22,4,417.69968684310777
22,5,1483.5648904738446
22,6,1859.116640340908
22,7,2032.7543059034365
22,8,79.53171624572148
22,9,413.1051999243172
22,10,7637.596791043604
22,11,1404.2005651745073
22,12,1123.9932454405796
22,13,62.49917616721672
22,14,2078.2513298889985
22,15,5352.094962587543
22,16,19672.295554797714
22,17,61.15307093931774
22,18,37.511866165127394
22,19,529.5699445783945
22,20,179.80317914784584
22,21,308.0739065715204
22,23,3033.756913570912
22,24,1565.0039309548913
22,25,314.1062789045493
22,26,111.91282766653211
22,27,3618.124857301153
22,28,69.65539192892106
22,29,232.09448090028167
22,30,61.07730130072239
22,31,13156.202960262293
22,32,2207.976750111958
22,33,1193.280707620029
22,34,268.6109465151171
22,35,208.20349709913154
22,36,285.8817786201876
22,37,330.56091261807046
22,38,45.79642466740626
22,39,1215.6237604419027
22,40,300.2258593785781
22,41,525.4081471258419
22,42,47513.000405376035
0,22,1272.798107676869
1,22,700.5608361876148
2,22,5197.286155708467
3,22,94.14716759136627
4,22,1335.1764080935354
5,22,1589.9497297243406
6,22,8060.363167265146
7,22,2948.7606570632947
8,22,24.17751647046312
9,22,521.9857595432572
10,22,9478.397640304936
11,22,1429.0857427039066
12,22,2656.3777368706837
13,22,35.40710139645084
14,22,1120.3366798212824
15,22,4624.7222351495475
16,22,15605.053886788402
17,22,524.5254333381381
18,22,47.18106344935837
19,22,479.55704861943855
20,22,91.19441140936888
21,22,300.03168792712836
23,22,4973.922052326021
24,22,1633.019306237381
25,22,1066.871931056992
26,22,33.04610120694655
27,22,243.67696124550372
28,22,51.40648400771325
29,22,606.2712532295868
30,22,240.84941814094026
31,22,3861.412266502554
32,22,1003.5198578353512
33,22,983.7430034595548
34,22,433.2091992238163
35,22,198.24136389704327
36,22,474.212308955294
37,22,83.50476727513603
38,22,55.11275557614446
39,22,1676.1098795358894
40,22,291.3269277253297
41,22,470.7026561429512
42,22,21068.145223382216
