Id,Label,Weight
0,AUS,1287368.5831163109
1,AUT,264483.30412021466
2,BEL,345347.80428019963
3,BGR,43018.14827752033
4,BRA,1706858.9409043766
5,CAN,1265515.4442545841
6,CHE,517001.90345568757
7,CHN,15865287.148451375
8,CYP,12694.070898436421
9,CZE,193352.40337808273
10,DEU,2501741.8874425665
11,DNK,185686.71146191392
12,ESP,1012799.2366124076
13,EST,15291.938587534649
14,FIN,190510.93152307672
15,FRA,1804398.8981806869
16,GBR,1718281.49708384
17,GRC,128124.47107753356
18,HRV,33421.86436886291
19,HUN,70252.92400316465
20,IDN,697948.7911961261
21,IND,1467604.668522401
22,IRL,96105.70232649306
23,ITA,1743530.0304082874
24,JPN,4783196.684609436
25,KOR,1423729.7659985174
26,LTU,19619.272302945606
27,LUX,46372.69427307407
28,LVA,24230.680620576008
29,MEX,600066.1907894863
30,MLT,6408.008399375425
31,NLD,502983.46297415724
32,NOR,273146.7788356825
33,POL,408940.4421037192
34,PRT,148229.55353074853
35,ROU,144886.12209704626
36,RUS,1450997.5049763438
37,SVK,77312.03987256729
38,SVN,30672.7876535498
39,SWE,355547.7954622397
40,TUR,581672.070696887
41,TWN,455507.3657719237
42,USA,11122249.871726401
