Id,Label,Weight
0,AUS,1177104.6300289996
1,AUT,277252.37390681263
2,BEL,350729.3189583069
3,BGR,47246.00200682002
4,BRA,1622539.9895274702
5,CAN,1217555.4339609307
6,CHE,538628.4800882647
7,CHN,19971882.2985603
8,CYP,12017.724665595251
9,CZE,189508.495219707
10,DEU,2619635.2850248152
11,DNK,193857.94316522745
12,ESP,1015020.9287567664
13,EST,17912.673727375884
14,FIN,196606.12940046086
15,FRA,1872121.1329895246
16,GBR,2034398.8597902802
17,GRC,119063.60095289028
18,HRV,32195.0064329098
19,HUN,76731.48897444009
20,IDN,682735.6322044797
21,IND,1574468.3400249546
22,IRL,108250.66130096343
23,ITA,1732280.4463413372
24,JPN,3565446.469880503
25,KOR,1593119.7174224872
26,LTU,22061.399381228304
27,LUX,62054.21207082552
28,LVA,26720.944816605606
29,MEX,647562.6063227853
30,MLT,7864.029629771434
31,NLD,532244.4636116235
32,NOR,279851.3361163164
33,POL,442553.3079091759
34,PRT,147718.140666036
35,ROU,159398.24996604133
36,RUS,1500188.7549182586
37,SVK,78473.95287845156
38,SVN,31898.235518663023
39,SWE,361370.02332171326
40,TUR,585301.8789303068
41,TWN,456639.49095703935
42,USA,12164099.333309712
