Id,Label,Weight
0,AUS,904797.2803893816
1,AUT,265562.44429385115
2,BEL,337172.7010268675
3,BGR,46054.17599641992
4,BRA,1182703.3481056998
5,CAN,950474.5038541312
6,CHE,431973.52373728744
7,CHN,9253647.380444033
8,CYP,13887.339122463209
9,CZE,195656.00143265104
10,DEU,2455511.0814439403
11,DNK,185680.10766240704
12,ESP,1211239.0642362006
13,EST,12924.045266763038
14,FIN,186883.44477169952
15,FRA,1805633.196177368
16,GBR,1611804.9915080422
17,GRC,175872.88793445707
18,HRV,38853.510427669884
19,HUN,81746.3926373926
20,IDN,471408.7400200254
21,IND,1075982.088804121
22,IRL,166891.90487465408
23,ITA,1789079.1101622162
24,JPN,4002054.7939385083
25,KOR,1009316.6093865893
26,LTU,18858.84493590693
27,LUX,38075.413189244224
28,LVA,21848.017923362026
29,MEX,458748.0219641114
30,MLT,5405.838555332044
31,NLD,542902.3010866839
32,NOR,223942.7586605308
33,POL,359367.44042714726
34,PRT,172687.31054433095
35,ROU,128592.6587051316
36,RUS,972359.3076677764
37,SVK,69962.82245727835
38,SVN,34796.79242749421
39,SWE,281218.9531728158
40,TUR,470623.7569581311
41,TWN,317878.46556139004
42,USA,9265313.3224244
