Id,Label,Weight
0,AUS,870389.3733803246
1,AUT,246302.01292280023
2,BEL,336462.5526677137
3,BGR,40450.37641694949
4,BRA,1056490.0814334108
5,CAN,989180.7271462998
6,CHE,366045.12066380586
7,CHN,6372946.053883943
8,CYP,12230.325257714876
9,CZE,194726.20824148762
10,DEU,2472837.2642250783
11,DNK,186447.7061572258
12,ESP,1346449.6966452228
13,EST,15314.973957964121
14,FIN,193974.6960621749
15,FRA,1841977.5727275463
16,GBR,2039512.6286081597
17,GRC,175925.40033185764
18,HRV,38593.56470917937
19,HUN,85941.75240252716
20,IDN,361855.3130816204
21,IND,952301.3386401272
22,IRL,194883.2622623825
23,ITA,1933651.9602790882
24,JPN,3689060.2371099414
25,KOR,1172076.1564906915
26,LTU,20103.9290117758
27,LUX,41878.37795151168
28,LVA,24586.06253182183
29,MEX,538592.8350326415
30,MLT,4846.261415635411
31,NLD,508640.37822799565
32,NOR,227990.7050467685
33,POL,362437.3383545904
34,PRT,172832.94245831127
35,ROU,119054.18312944277
36,RUS,985283.7585393862
37,SVK,60539.54505778951
38,SVN,34557.91976435082
39,SWE,323245.1903152
40,TUR,502682.8879656106
41,TWN,347429.3554443597
42,USA,10507432.873670306
