Source,Country,Trade Ratio,GDP Ratio
TUR,AUS,5.207884455994854,2.0890346970922304
TUR,AUT,1.4116956523193995,0.47038912605809574
TUR,BEL,1.6634124424542076,0.5921305701322515
TUR,BGR,1.378363386956589,0.07059319732124009
TUR,BRA,0.5925266754728195,2.858916128112748
TUR,CAN,0.6243080823301093,2.15473466765462
TUR,CHE,3.2219377814762065,0.8912283270580165
TUR,CHN,2.8351115267899187,30.97073452341047
TUR,CYP,0.026448958120598554,0.02167619084697803
TUR,CZE,2.059164457802697,0.32643989966954146
TUR,DEU,1.517603629532362,4.394294793383913
TUR,DNK,0.9910993380787658,0.3127751937050146
TUR,ESP,1.6121639672321966,1.7146288275823311
TUR,EST,0.3908691766768835,0.028959307658850568
TUR,FIN,3.595851573298787,0.3295861432051958
TUR,FRA,1.4914546630275654,3.167820883278163
TUR,GBR,1.2208384651759612,3.0817741160432424
TUR,GRC,4.487829921138339,0.20930128773144885
TUR,HRV,1.0729705171393442,0.05605671241014343
TUR,HUN,1.4463001955885582,0.12189217965159985
TUR,IDN,1.4764075779395383,1.1671206220707588
TUR,IND,6.841962451855804,2.4967141301493694
TUR,IRL,0.9703592099905457,0.183397086108675
TUR,ITA,1.4466971631206986,2.963861973372677
TUR,JPN,5.169396988311861,6.600436897194701
TUR,KOR,10.518866231664882,2.50052778159102
TUR,LTU,0.7375371640666808,0.03546497058082121
TUR,LUX,1.2577563913457137,0.0877870417773193
TUR,LVA,0.6004617077420525,0.043816106369322955
TUR,MEX,0.7947584918666848,1.0865337817472678
TUR,MLT,0.2252325811482737,0.0120280556461684
TUR,NLD,1.30125114840553,0.9042209587070775
TUR,NOR,2.32616029861586,0.4774559926485868
TUR,POL,1.4387551353296513,0.719883185229791
TUR,PRT,0.5648553438791706,0.24961352302127887
TUR,ROU,0.880243707525435,0.26564673565431646
TUR,RUS,1.1865074248264267,2.657552173562561
TUR,SVK,2.1270720314793308,0.13148057602317356
TUR,SVN,1.5011634274561303,0.05291689136506041
TUR,SWE,1.7749197650351898,0.6229805312504659
TUR,TUR,1.0,1.0
TUR,TWN,7.386429388246042,0.7534008339708724
TUR,USA,1.188745294375152,19.40526804297502
