Source,Target,Weight
40,0,866.4690556311191
40,1,1281.9606573401966
40,2,2936.4334365331865
40,3,1751.8221117919018
40,4,701.124802138444
40,5,558.5402087974331
40,6,2091.880237735021
40,7,5462.971382929644
40,8,3.731359513300807
40,9,637.8333164612283
40,10,12705.278168514018
40,11,976.1414003730467
40,12,2981.6543017940253
40,13,21.175510943914965
40,14,676.1491090138658
40,15,6556.346782035096
40,16,2947.948919843036
40,17,1965.5079780617025
40,18,149.5292432388718
40,19,774.0094260974487
40,20,953.8231510372252
40,21,1429.0441260748853
40,22,327.07366430065946
40,23,7577.785380387832
40,24,1521.4668051682715
40,25,2259.2899316711205
40,26,76.68308489448712
40,27,64.74154427763096
40,28,3.271815189090216
40,29,117.11654362227742
40,30,38.303368815178864
40,31,2385.003064753737
40,32,290.4475558486278
40,33,968.2662126946943
40,34,280.57338559146086
40,35,2907.6947448591773
40,36,23527.29036129459
40,37,523.9708586189904
40,38,205.34825741991943
40,39,1105.6638643834979
40,41,1080.3231941361728
40,42,4701.567730378009
0,40,244.23653620481272
1,40,695.9410724972968
2,40,1748.7024839264175
3,40,1611.1983359134329
4,40,518.7572170718292
5,40,417.5186464759028
6,40,1316.5809695603493
7,40,1126.9366251233255
8,40,327.05663279455143
9,40,429.29557167680946
10,40,8375.552601027091
11,40,762.7968974542564
12,40,2310.604456243432
13,40,50.41189881725776
14,40,244.03934427309974
15,40,3452.645885208889
16,40,3819.1729558072493
17,40,2006.232898789617
18,40,197.73478594653648
19,40,581.7743018147385
20,40,778.3519028850493
21,40,989.1578484910808
22,40,373.9619738766041
23,40,5908.037053212329
24,40,322.9087790778637
25,40,395.14721911022485
26,40,65.67255255055296
27,40,134.92184055861554
28,40,34.894500094055914
29,40,313.70380456738144
30,40,1079.9433085317562
31,40,867.7981928942849
32,40,517.136538901135
33,40,1211.8496462011155
34,40,432.52491540226237
35,40,2831.4819143501422
36,40,9248.889398408732
37,40,265.8151078718914
38,40,120.66396251654686
39,40,535.3442861162433
41,40,137.60916642167888
42,40,4082.2078753896185
